Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
Lockheed Martin,Marillyn Hewson,"Chairman, president and CEO[81]",2013,Also serves on the board of Sandia National Laboratories and DuPont,2017/11/13,,,,,,,,,,,,,,,,,,
Marks and Spencer,Steve Rowe,CEO[82],2016,"Joined the firm in 1989, previously executive director of General Merchandise",2017/11/13,,,,,,,,,,,,,,,,,,
MasterCard,Ajaypal Singh Banga,CEO,1997,Joined the firm in 1997,2019/03/17,,,,,,,,,,,,,,,,,,
McDonald's,Chris Kempczinski,President and CEO[83],2019,With the company since 2014,2017/11/13,,,,,,,,,,,,,,,,,,
McKinsey,Kevin Sneader,Global managing partner[84],2009,Succeeded Ian Davis,2017/11/13,,,,,,,,,,,,,,,,,,
Mesa Air Group,Jonathan Ornstein,Chairman and CEO[85],1998,Formerly led Virgin Express and Continental Express,2017/11/13,,,,,,,,,,,,,,,,,,
MetLife,Steven A. Kandarian,"Chairman, president and CEO[86]",2011,Previously executive director for Pension Benefit Guaranty Corporation,2017/11/13,,,,,,,,,,,,,,,,,,
MGA Entertainment,Isaac Larian,CEO,1979,Co-founded the company,2017/11/13,,,,,,,,,,,,,,,,,,
Microsoft,Satya Nadella,CEO[87],2014,Was executive vice president of Microsoft's Cloud and Enterprise group,2017/11/13,,,,,,,,,,,,,,,,,,
MicroStrategy,Michael J. Saylor,Chairman and CEO[88],1989,Founder of the firm,2018/02/08,,,,,,,,,,,,,,,,,,
Morgan Stanley,James P. Gorman,Chairman and CEO[89],2010,Formerly with Merrill Lynch,2017/11/13,,,,,,,,,,,,,,,,,,
Mossy Oak,Toxey Haas,Founder and CEO[90],1986,Founder of the firm,2017/11/13,,,,,,,,,,,,,,,,,,
Mozilla Corporation,Chris Beard,CEO[91],2014,Previously CFO,2017/11/13,,,,,,,,,,,,,,,,,,
National Amusements,Sumner Redstone,Chairman and CEO[92],1967,Formerly executive chairman of CBS and Viacom,2017/11/12,,,,,,,,,,,,,,,,,,
